id,productName,productPrice,productStock,productDescription,category,url
49,Glass Fixed  Wall Shelves ,2599,25,Glass Fixed Bracket Wall Shelves In Silver Colour,FURNISH,FURNISH.jpg
50,Ujisato 6 Door Wardrobe ,24599,20, 6 Door Wardrobe With Drawer In Regato Walnut Finish,STORAGE,DRAWER.jpg
51,Dinosaur Study Lamp,999,15,Kids Study Lamp Dinosaur Design,LIGHTS,DINO.jpg
52,Brown Nylon  Doormat,1799,26,Brown Nylon Abstract 3D Printed 15x23 inches Anti skid Doormat,FURNISH,DOORMAT.jpg
53,Grey Polymer Square Shaped Large Planter,3399,25,Grey Polymer Square Shaped Large Planter,GARDEN,GARDEN.jpg
54,ASPIRA BOHO  Sleek LED mirror ,6999,12,ASPIRA BOHO (17.7 x 23.6) Sleek LED mirror in Silver Colour,DECOR,DECOR.jpg
55,Tribal Art Square (Set of 2) Ceramic Dinner Plate,5499,54, Tribal Art Square (Set of 2) Ceramic Dinner Plate,DINNING,DINNING.jpg
56,Metal Railing Planter,2399,34,Black & Gold Metal Railing Planter,GARDEN,GARDEN12.jpg
57,200 ML Glass Dessert Bowl,758,19,200 ML Glass Dessert Bowls Set of 6,DINNING,DINNING1.jpg
58, Wood Storage Box,1799,28,Geometric Brown & Black Acacia Wood Storage Box,STORAGE,STORAGE.jpg
